Year,Top10,GDP,PM,Party
1994,0.34768,502382.7,細川護熙,日本新党
1995,0.35529,516706.5,村山富市,社会党
1996,0.36035,528666.1,橋本龍太郎,自民党
1997,0.35921,533148.7,橋本龍太郎,自民党
1998,0.36526,526109,橋本龍太郎,自民党
1999,0.37276,521997.3,小渕恵三,自民党
2000,0.38126,528621.2,小渕恵三,自民党
2001,0.3959,518889.2,森喜朗,自民党
2002,0.40557,514675,小泉純一郎,自民党
2003,0.41208,518199.8,小泉純一郎,自民党
2004,0.42154,521003.9,小泉純一郎,自民党
2005,0.42433,525813.9,小泉純一郎,自民党
2006,0.42752,529255,小泉純一郎,自民党
2007,0.42962,531013.4,安倍晋三,自民党
2008,0.42286,509398.4,福田康夫,自民党
2009,0.41313,492075.1,麻生太郎,自民党
2010,0.41566,499194.8,鳩山由紀夫,民主党
